game_id,referee_id
10500094,1148
10500094,2534
10500096,2148
10500096,1142
10500096,1151
10500097,2882
10500097,1830
10500097,1174
10500099,2001
10500099,1203
10500099,1146
10500100,2883
10500100,1156
10500100,1194
10500102,1200
10500102,1179
10500102,1144
10500103,1193
10500103,2529
10500103,1147
10500105,1159
10500105,1199
10500105,2003
10500106,1144
10500106,1180
10500106,1204
10500114,2005
10500114,1152
10500114,2534
10500116,2147
10500116,1150
10500116,1201
10500120,1192
10500120,2004
10500120,1146
10600007,1142
10600007,1184
10600008,1142
10600008,101284
10600008,1184
10600009,2003
10600009,1147
10600009,2714
10600010,1189
10600010,1176
10600010,2534
10600012,1201
10600012,2529
10600012,1192
10600013,1664
10600013,2882
10600013,1151
10600014,1167
10600014,1198
10600014,2715
10600015,1199
10600015,1200
10600015,1203
10600018,1155
10600018,1156
10600018,2714
10600019,1174
10600019,1188
10600020,2716
10600020,1148
10600020,2004
10600021,2883
10600021,1194
10600021,1662
10600022,2530
10600022,1159
10600022,1146
10600027,1189
10600027,2882
10600027,1165
10600028,1174
10600028,2532
10600028,2001
10600029,1830
10600029,1188
10600029,1151
10600031,2530
10600031,1146
10600031,1159
10600033,1664
10600033,2532
10600033,1195
10600035,2004
10600035,2716
10600035,1148
10600036,2529
10600036,1156
10600036,2534
10600037,2714
10600037,1190
10600037,1185
10600038,1193
10600038,2715
10600038,1161
10600039,1184
10600039,1147
10600040,2878
10600040,1176
10600040,2002
10600042,1179
10600042,1165
10600042,2148
10600044,1162
10600044,2003
10600045,2882
10600045,2001
10600045,1146
10600046,1185
10600046,2714
10600046,1193
10600047,1154
10600047,2148
10600047,1179
10600048,1188
10600048,1168
10600048,1664
10600049,2004
10600049,1165
10600051,1159
10600051,2530
10600051,1152
10600053,2715
10600053,1153
10600053,1198
10600054,2883
10600054,2003
10600054,1156
10600055,1148
10600055,2002
10600055,1204
10600056,1830
10600056,1155
10600056,2532
10600059,1176
10600059,2534
10600059,2529
10600061,2878
10600061,1185
10600061,1194
10600062,1147
10600062,1662
10600062,2005
10600065,2002
10600065,1189
10600065,1167
10600066,1195
10600066,2532
10600066,1201
10600067,1152
10600067,1159
10600067,2530
10600068,1184
10600068,1153
10600068,1363
10600069,1164
10600069,1198
10600069,2715
10600071,1193
10600071,1150
10600071,2878
10600072,2883
10600072,1826
10600072,1142
10600073,1198
10600073,1164
10600073,2715
10600074,1189
10600074,2716
10600074,1146
10600075,2148
10600075,1179
10600075,1148
10600077,1147
10600077,1662
10600077,2005
10600078,1154
10600078,1664
10600078,1204
10600079,1199
10600079,2529
10600079,1201
10600080,2882
10600080,1156
10600080,1151
10600081,2002
10600081,1192
10600082,2148
10600082,1168
10600082,1155
10600083,1190
10600083,2003
10600084,2001
10600084,1195
10600084,101286
10600085,1363
10600085,1161
10600085,1184
10600086,2714
10600086,1203
10600086,2003
10600088,1162
10600088,1189
10600088,1188
10600090,1165
10600090,2004
10600090,101286
10600091,1176
10600091,1201
10600095,1146
10600095,2530
10600096,1193
10600096,1150
10600096,2716
10600097,1161
10600097,2532
10600097,1830
10600098,1826
10600098,1162
10600098,2714
10600099,1184
10600099,1151
10600099,2005
10600100,1363
10600100,2003
10600100,1155
10600101,1165
10600101,2715
10600101,2002
10600102,1188
10600102,1163
10600102,1204
10600103,1153
10600103,2002
10600103,2530
10600104,2882
10600104,1156
10600104,1195
10600105,1194
10600105,1185
10600105,101284
